country,iso3c,region,Urban population (% of total population),Rural population (% of total population),Proportion of people living below 50 percent of median income (%),"Population, total",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),"Physicians (per 1,000 people)","Life expectancy at birth, total (years)","GDP per capita, PPP (current international $)"
Kyrgyz Republic,KGZ,Europe & Central Asia,37.461,62.539,5,6803300,4.54212221083901,34.8894681960375,2.213,71.9,6132.51472138704
Lao PDR,LAO,East Asia & Pacific,37.592,62.408,10.3,7529475,4.45475282141185,32.1709575389948,0.3539,68.061,9384.26569540426
Latvia,LVA,Europe & Central Asia,68.54,31.46,12.2,1883379,21.8559577143394,30.2826610959344,3.4047,73.2829268292683,39956.1904770152
Lebanon,LBN,Middle East & North Africa,89.262,10.738,10.7,5489739,9.89270984533966,546.689247311828,2.2071,75.047,14330.5156325649
Lesotho,LSO,Sub-Saharan Africa,29.943,70.057,21,2305825,4.19541721609029,75.1467061923584,0.4734,53.062,2694.54661561976
Liberia,LBR,Sub-Saharan Africa,53.065,46.935,12.2,5302681,3.30827934020545,53.9183554817276,0.051,60.747,1724.99785498788
Libya,LBY,Middle East & North Africa,81.302,18.698,NA,6812341,4.86495758212926,3.82786239585346,2.0905,71.911,23374.9889983636
Liechtenstein,LIE,Europe & Central Asia,14.538,85.462,NA,39327,19.3645587001297,243.99375,NA,84.4024390243902,NA
Lithuania,LTU,Europe & Central Asia,68.465,31.535,10.4,2833000,20.7961658948639,44.7346909439387,4.6268,74.3390243902439,48396.6935449884
Luxembourg,LUX,Europe & Central Asia,91.881,8.119,14.3,650774,15.0285130149985,248.62068161867,3.0073,82.7487804878049,142213.851685246
"Macao SAR, China",MAC,East Asia & Pacific,100,0,NA,695168,12.995698165265,20806.2727272727,1.562,85.399,55344.4787919986
Madagascar,MDG,Sub-Saharan Africa,39.882,60.118,14.4,29611714,3.3485616536753,49.7003317291165,0.1991,64.485,1774.06870896083
Malawi,MWI,Sub-Saharan Africa,17.98,82.02,11.1,20405317,2.60866328635481,210.964594823929,0.0501,62.904,1732.03034334458
Malaysia,MYS,East Asia & Pacific,78.214,21.786,17,33938221,7.50252337176832,102.188020088267,2.2855,74.884,33433.6173982921
Maldives,MDV,South Asia,41.536,58.464,7.5,523787,4.78324204304421,1738.19,2.0527,79.918,24771.7229399701
Mali,MLI,Sub-Saharan Africa,45.437,54.563,9.2,22593590,2.38123285451243,17.952108278219,0.1286,58.941,2517.14726297399
Malta,MLT,Middle East & North Africa,94.875,5.125,9.9,523417,19.1282913858605,1620.425,2.8598,82.8609756097561,55927.8593837575
Marshall Islands,MHL,East Asia & Pacific,78.52,21.48,11.3,41569,4.54545454545454,233.611111111111,0.4233,65.269,7227.8589357311
Mauritania,MRT,Sub-Saharan Africa,56.923,43.077,12.1,4736139,3.22325843899429,4.47751431066266,0.1865,64.364,6424.11689465832
